Exercise Name,Male Video Filename,Female Video Filename
Sitting Scapular Adduction,69131201-Sitting-Scapular-Adduction-(male)_Back_.mp4,66141201-Sitting-Scapular-Adduction-(female)_Back_.mp4
Sitting Scapular Adduction (Version 2),69141201-Sitting-Scapular-Adduction-(VERSION-2)-(male)_Back.mp4,66151201-Sitting-Scapular-Adduction-(VERSION-2)-(female)_Ba.mp4
Sitting Shoulder Press And Hip Abduction On A Padd,55581201-Sitting-Shoulder-Press-and-Hip-Abduction-on-a-padd.mp4,56551201-Sitting-Shoulder-Press-and-Hip-Abduction-on-a-padd.mp4
Sitting Shoulder Press Toe Touch On A Padded Stool,55661201-Sitting-Shoulder-Press-Toe-Touch-on-a-padded-stool.mp4,56531201-Sitting-Shoulder-Press-Toe-Touch-on-a-padded-stool.mp4
Sitting Side Bend On A Chair,81951201-Sitting-Side-Bend-on-a-chair_Waist_.mp4,91611201-Sitting-Side-Bend-on-a-Chair-(female)_Waist_.mp4
Sitting Side Crunch On A Padded Stool,55591201-Sitting-Side-Crunch-on-a-padded-stool_Waist_.mp4,56461201-Sitting-Side-Crunch-on-a-padded-stool-(female)_Wai.mp4
Sitting Side Step Row On Chair,72621201-Sitting-Side-Step-Row-on-Chair-(male)_Plyometrics_.mp4,91221201-Sitting-Side-Step-Row-on-Chair-(female)_Plyometric.mp4
Sitting Swimmer On A Chair,81971201-Sitting-Swimmer-on-a-Chair-(male)_Shoulders_.mp4,91601201-Sitting-Swimmer-on-a-Chair-(female)_Plyometrics_.mp4
Sitting Swimming Knee Raise On A Chair,82041201-Sitting-Swimming-Knee-Raise-on-a-Chair-(male)_Wais.mp4,69051201-Sitting-Swimming-Knee-Raise-on-a-Chair-(female)_Wa.mp4
Sitting Woodchopper On A Chair,81991201-Sitting-Woodchopper-on-a-Chair-(male)_Waist_.mp4,90961201-Sitting-Woodchopper-on-a-Chair-(female)_Waist_.mp4
Skater Hops,33611201-Skater-Hops-(male)_Plyometrics-FIX_.mp4,38201201-Skater-Hops-(female)_Plyometric.mp4
Ski Runners,55391201-Ski-Runners-(male)_Plyometrics_.mp4,55421201-Ski-Runners-(female)_Plyometrics_.mp4
Ski Runners (Version 2),87391201-Ski-Runners-(VERSION-2)-(male)_Plyometrics_.mp4,76571201-Ski-Runners-(VERSION-2)-(female)_Plyometrics_.mp4
Sled 45 Degrees Leg Press,07391201-Sled-45-degrees-Leg-Press_Hips-FIX_.mp4,22241201-Sled-45-degrees-Leg-Press-(female)_Thighs_.mp4
Sled Hack Squat,07431201-Sled-Hack-Squat_Hips.mp4,23841201-Sled-Hack-Squat-(female)_Thighs.mp4
Slopes Towards Stretch,43121201-Slopes-Towards-Stretch-(male)_Back.mp4,07451201-Slopes-Towards-Stretch-(female)_Back.mp4
Smith Back Shrug,07461201-Smith-Back-Shrug_Back.mp4,107091201-Smith-Back-Shrug-(female)_Back_.mp4
Smith Bench Press,07481201-Smith-Bench-Press_Chest-FIX_.mp4,70021201-Smith-Bench-Press-(female)_Chest_.mp4
Smith Bent Over Row (Version 2),07621201-Smith-Bent-Over-Row-(VERSION-2)_Back_.mp4,74201201-Smith-Bent-Over-Row-(VERSION-2)-(female)_Back_.mp4
Smith Calf Raise (Version 2),11641201-Smith-Calf-Raise-(version-2)_Calves-FIX_.mp4,57301201-Smith-Calf-Raise-(version-2)-(female)_Calves_.mp4
Smith Chair Squat,07501201-Smith-Chair-Squat_Thighs-FIX_.mp4,26171201-Smith-Chair-Squat-(female)_Thighs.mp4
Smith Close Grip Bench Press,07511201-Smith-Close-Grip-Bench-Press_Upper-Arms_.mp4,74001201-Smith-Close-Grip-Bench-Press-(female)_Upper-Arms_.mp4
Smith Deadlift,07521201-Smith-Deadlift_Hips-FIX_.mp4,36181201-Smith-Deadlift-(female)_Hips.mp4
Smith Decline Bench Press,07531201-Smith-Decline-Bench-Press_Chest-FIX_.mp4,74221201-Smith-Decline-Bench-Press-(female)_Chest_.mp4
Smith Hip Thrust,31101201-Smith-Hip-Thrust_Hips-FIX_.mp4,57611201-Smith-Hip-Thrust-(female)_Hips_.mp4
Smith Incline Bench Press,07571201-Smith-Incline-Bench-Press_Chest-FIX_.mp4,70031201-Smith-Incline-Bench-Press-(female)_Chest_.mp4
Smith Lateral Step Up,58241201-Smith-Lateral-Step-Up-(male)_Thighs_.mp4,08841201-Smith-Lateral-Step-Up-(female)_Thighs_.mp4
Smith Leg Press,07601201-Smith-Leg-Press_Thighs-FIX_.mp4,36191201-Smith-Leg-Press-(female)_Thighs.mp4
Smith Rear Lunge (Version 2),58251201-Smith-Rear-Lunge-(version-2)-(male)_Thighs_.mp4,08871201-Smith-rear-lunge-(version-2)-(female)_Thighs_.mp4
Smith Seated Shoulder Press,07651201-Smith-Seated-Shoulder-Press_Shoulders.mp4,36201201-Smith-Seated-Shoulder-Press-(female)_Shoulders.mp4
Smith Shrug,07671201-Smith-Shrug_Back.mp4,70501201-Smith-Shrug-(female)_Back_.mp4
Smith Single Leg Split Squat,07681201-Smith-Single-Leg-Split-Squat_Thighs_.mp4,26701201-Smith-Single-Leg-Split-Squat-(female)_Thighs-FIX_.mp4
Smith Split Squat,07691201-Smith-Split-Squat_Thighs_.mp4,31111201-Smith-Split-Squat-(female)_Thighs_.mp4
Smith Standing Leg Calf Raise,07731201-Smith-Standing-Leg-Calf-Raise_Calves_.mp4,26551201-Smith-Standing-Leg-Calf-Raise-(female)_Calf.mp4
Smith Standing Shoulder Press,12241201-Smith-Standing-Shoulder-Press_Shoulders.mp4,70071201-Smith-Standing-Shoulder-Press-(female)_Shoulders_.mp4
Smith Sumo Deadlift,73741201-Smith-Sumo-Deadlift_Hips_.mp4,65571201-Smith-Sumo-Deadlift-(female)_Hips_.mp4
Spell Caster,07771201-Spell-Caster_Waist.mp4,38461201-Spell-Caster-(female).mp4
Sphinx Pose Opening,89621201-Sphinx-Pose-Opening-(male)_Stretching_.mp4,87611201-Sphinx-Pose-Opening-(female)_Stretching_.mp4
Sphinx Pose Twist,89611201-Sphinx-Pose-Twist-(male)_Stretching_.mp4,87601201-Sphinx-Pose-Twist-(female)_Stretching_.mp4
Spider Crawl Push Up,07781201-Spider-Crawl-Push-up_Hips-FIX_.mp4,34371201-Spider-Crawl-Push-up-(female)_Hips.mp4
Spinal Stretch (On Stability Ball),43141201-Spinal-Stretch-(on-stability-ball)-(male)_Waist.mp4,07791201-Spinal-Stretch-(on-stability-ball)_Waist-FIX_.mp4
Spine Stretch Forward,43151201-Spine-Stretch-Forward-(male)_Pilates.mp4,28731201-Spine-Stretch-Forward_Pilates_Pilates.mp4
Split Squat Heel Raise,89601201-Split-Squat-Heel-Raise-(male)_Thighs_.mp4,87551201-Split-Squat-Heel-Raise-(female)_Thighs_.mp4
Squat And Tip Toes,77411201-Squat-and-Tip-Toes-(male)_Thighs_.mp4,61751201-Squat-and-Tip-Toes-(female)_Thighs_.mp4
Squat Bounce Sky Punch,67241201-Squat-Bounce-Sky-Punch-(male)_Plyometrics_.mp4,77821201-Squat-Bounce-Sky-Punch-(female)_Plyometrics_.mp4
Squat Side Power Kick,46351201-Squat-Side-Power-Kick_Plyometrics.mp4,46381201-Squat-Side-Power-Kick-(female)_Plyometrics.mp4
Squat To Straddle,85471201-Squat-to-Straddle-(male)_Stretching_.mp4,79091201-Squat-to-Straddle-(female)_Stretching_.mp4
Stability Ball Rollout On Knees,70191201-Stability-Ball-Rollout-on-Knees-(male)_Hips_.mp4,22951201-Stability-Ball-Rollout-on-Knees-(female)_Hips.mp4
Stability Ball Single Leg Squat,70141201-Stability-Ball-Single-Leg-Squat-(male)_Thighs_.mp4,16951201-Stability-Ball-Single-Leg-Squat_Thighs.mp4
Standing Abdominal Vacuum,69201201-Standing-Abdominal-Vacuum-(male)_Waist_.mp4,54451201-Standing-Abdominal-Vacuum-(female)_Waist_.mp4
Standing Archer Alternate Arm Row,96541201-Standing-Archer-Alternate-Arm-Row-(male)_Back_.mp4,72251201-Standing-Archer-Alternate-Arm-Row-(female)_Back_.mp4
Standing Balance Quadriceps Stretch,35041201-Standing-Balance-Quadriceps-Stretch_Stretching_.mp4,63201201-Standing-Balance-Quadriceps-Stretch-(female)_Stret.mp4
Standing Boat Row,66551201-Standing-Boat-Row-(male)_Waist_.mp4,77571201-Standing-Boat-Row-(female)_Waist_.mp4
Standing Calf Raise With Arms Circle,96611201-Standing-Calf-Raise-with-Arms-Circle-(male)_Calves.mp4,95241201-Standing-Calf-Raise-with-Arms-Circle-(female)_Calv.mp4
