Exercise Name,Male Video Filename,Female Video Filename
Walking On Stepmill,23111201-Walking-on-Stepmill_Cardio.mp4,24901201-Walking-on-Stepmill-(female)_Thighs_.mp4
Weighted Bottle Side Lying Shoulder External Rotat,83541201-Weighted-Bottle-Side-Lying-Shoulder-External-Rotat.mp4,79931201-Weighted-Bottle-Side-Lying-Shoulder-External-Rotat.mp4
Weighted Counterbalanced Squat,41281201-Weighted-Counterbalanced-Squat-(male)_Thighs_.mp4,57831201-Weighted-Counterbalanced-Squat-(female)_Thighs_.mp4
Weighted Dumbbell Lying Flat Hip Raise,73791201-Weighted-Dumbbell-Lying-Flat-Hip-Raise-(male)_Wais.mp4,66491201-Weighted-Dumbbell-Lying-Flat-Hip-Raise-(female)_Wa.mp4
Weighted Dumbbell Table Top Bridge,83501201-Weighted-Dumbbell-Table-Top-Bridge-(male)_Hips_.mp4,79381201-Weighted-Dumbbell-Table-Top-Bridge-(female)_Hips_.mp4
Weighted Front Raise,08341201-Weighted-Front-Raise_Shoulders-FIX_.mp4,74211201-Weighted-Front-Raise-(female)_Shoulders_.mp4
Weighted Hanging Leg Hip Raise,08661201-Weighted-Hanging-leg-hip-raise_Waist.mp4,70041201-Weighted-Hanging-Leg-Hip-Raise-(female)_Waist_.mp4
Weighted Lying Svend Press,82911201-Weighted-Lying-Svend-Press-(male)_Chest_.mp4,90331201-Weighted-Lying-Svend-Press-(female)_Chest_.mp4
Weighted Plate Lying Crunch,66031201-Weighted-Plate-Lying-Crunch-(male)_Waist_.mp4,107101201-Weighted-Plate-Lying-Crunch-(female)_Waist_.mp4
Weighted Plate Standing Biceps Curl,66981201-Weighted-Plate-Standing-Biceps-Curl-(male)_Forearm.mp4,105781201-Weighted-Plate-Standing-Biceps-Curl-(female)_Fore.mp4
Weighted Pull Up,08411201-Weighted-Pull-Up_Back_.mp4,107071201-Weighted-Pull-Up-(female)_Back_.mp4
Weighted Sissy Squat,08511201-Weighted-Sissy-Squat_Thighs.mp4,40321201-Weighted-Sissy-Squat-(female)_Thighs.mp4
Weighted Standing Curl,08531201-Weighted-Standing-Curl_Forearms.mp4,36261201-Weighted-Standing-Curl-(female)_Forearms.mp4
Weighted Svend Press,08561201-Weighted-Svend-Press_Chest-FIX_.mp4,34261201-Weighted-Svend-Press-(female)_Chest_.mp4
Weighted Twisting Crunch (On Bench),71201201-Weighted-Twisting-Crunch-(on-bench)-(male)_Waist_.mp4,11881201-Weighted-Twisting-Crunch-(on-bench)_Waist.mp4
Weighted V Up Passes With Pad,55111201-Weighted-V-up-Passes-with-Pad_Waist_.mp4,64291201-Weighted-V-up-Passes-with-Pad-(female)_Waist_.mp4
Wide Chin Up,81891201-Wide-Chin-Up-(male)_Back_.mp4,49151201-Wide-Chin-Up-(female)_Back_.mp4
Wide Forward Fold Twist,89691201-Wide-Forward-Fold-Twist-(male)_Stretching_.mp4,87581201-Wide-Forward-Fold-Twist-(female)_Stretching_.mp4
Wide Hand Push Up,13111201-Wide-Hand-Push-up_Chest.mp4,40371201-Wide-Hand-Push-up-(female)_Chest.mp4
Wind Side Twist Jump,57931201-Wind-Side-Twist-Jump-(male)_Plyometrics_.mp4,67801201-Wind-Side-Twist-Jump-(female)_Plyometrics_.mp4
Wipers (Straight Leg),12491201-Wipers-(straight-leg)_Waist-FIX_.mp4,70091201-Wipers-(straight-leg)-(female)_Waist_.mp4
